name,year,gross_Worldwide,phase,id
Iron Man,02/05/2008,585.2,1,1
The Incredible Hulk,13/06/2008,263.4,1,2
Iron Man 2,07/05/2010,623.9,1,3
Thor,06/05/2011,449.3,1,4
Captain America: The First Avenger,22/07/2011,370.6,1,5
The Avengers,04/05/2012,1518.8,1,6
Iron Man 3,03/05/2013,1214.8,2,7
Thor: The Dark World,08/11/2013,644.6,2,8
Captain America: The Winter Soldier,04/04/2014,714.3,2,9
Guardians of the Galaxy,01/08/2014,773.3,2,10
Avengers: Age of Ultron,01/05/2015,1405.4,2,11
Ant-Man,17/07/2015,519.3,2,12
Captain America: Civil War,06/05/2016,1153.3,3,13
Doctor Strange,04/11/2016,677.7,3,14
Guardians of the Galaxy 2,05/05/2017,863.8,3,15
Spider-Man Homecoming,07/07/2017,880.2,3,16
Thor: Ragnarok,03/11/2017,854,3,17
Black Panther,16/02/2018,1346.9,3,18
Avengers: Infinity War,27/04/2018,2048.4,3,19
Ant-Man and the Wasp,06/07/2018,622.7,3,20
Captain Marvel,07/03/2019,1124.8,3,21
Avengers: Endgame,26/04/2019,2503.1,3,22
